iter	Passed	Remaining
478	633	688
479	633	686
480	635	685
481	636	683
482	637	682
483	637	680
484	638	678
485	639	676
486	639	673
487	640	672
488	641	670
489	643	669
490	643	667
491	644	665
492	645	663
493	645	661
494	647	660
495	648	659
496	650	658
497	650	655
498	651	653
499	651	651
500	652	650
501	654	649
502	655	647
503	656	645
504	656	643
505	657	641
506	658	640
507	659	638
508	660	637
509	661	635
510	661	633
511	662	631
512	662	629
513	663	627
514	664	625
515	664	623
516	666	622
517	667	621
518	667	619
519	668	617
520	669	615
521	669	613
522	670	611
523	671	609
524	672	608
525	673	606
526	673	604
527	674	602
528	674	600
529	675	599
530	676	597
531	677	596
532	679	595
533	680	593
534	681	592
535	681	590
536	682	588
537	683	587
538	685	586
539	686	584
540	686	582
541	687	580
542	687	578
543	688	577
544	690	576
545	691	574
546	692	573
547	693	571
548	693	570
549	694	568
550	695	566
551	696	565
552	697	563
553	699	562
554	699	561
555	700	559
556	700	557
557	701	555
558	702	554
559	705	554
560	706	552
561	707	551
562	708	549
563	710	549
564	712	548
565	712	546
566	713	544
567	715	543
568	715	542
569	716	540
570	717	538
571	717	536
572	718	535
573	718	533
574	719	531
575	719	529
576	721	528
577	721	527
578	722	525
579	722	523
580	723	521
581	723	519
582	724	518
583	725	516
584	725	514
585	726	513
586	727	511
587	727	510
588	728	508
589	729	506
590	729	504
591	730	503
592	730	501
593	731	499
594	732	498
595	735	498
596	736	497
597	737	495
598	737	494
599	738	492
600	739	491
601	740	489
602	741	488
603	741	486
604	742	484
605	742	483
606	743	481
607	743	479
608	744	478
609	745	476
610	746	475
611	746	473
612	747	471
613	747	470
614	748	468
615	749	466
616	749	465
617	750	463
618	750	462
619	751	460
620	752	459
621	753	457
622	753	456
623	754	454
624	754	452
625	755	451
626	755	449
627	756	448
628	757	446
629	758	445
630	758	443
631	759	442
632	759	440
633	760	439
634	761	437
635	761	435
636	762	434
637	762	432
638	763	431
639	764	429
640	764	428
641	765	427
642	766	425
643	766	423
644	767	422
645	768	420
646	768	419
647	769	417
648	770	416
649	771	415
650	771	413
651	772	412
652	772	410
653	773	409
654	774	407
655	774	406
656	775	404
657	775	403
658	776	401
659	777	400
660	778	399
661	778	397
662	779	396
663	779	394
664	780	393
665	780	391
666	781	390
667	782	388
668	783	387
669	784	386
670	784	384
671	785	383
672	785	381
673	786	380
674	786	378
675	787	377
676	788	376
677	789	374
678	789	373
679	790	371
680	790	370
681	791	369
682	792	367
683	792	366
684	793	364
685	793	363
686	794	361
687	795	360
688	796	359
689	797	358
690	798	356
691	798	355
692	799	354
693	799	352
694	800	351
695	801	350
696	803	349
697	804	348
698	805	346
699	805	345
700	806	343
701	807	342
702	808	341
703	808	340
704	809	338
705	810	337
706	810	335
707	811	334
708	811	333
709	812	331
710	812	330
711	813	328
712	814	327
713	814	326
714	815	325
715	816	323
716	816	322
717	817	321
718	817	319
719	818	318
720	819	316
721	820	315
722	821	314
723	821	313
724	822	311
725	822	310
726	823	309
727	824	307
728	824	306
729	825	305
730	826	304
731	827	303
732	828	301
733	829	300
734	829	299
735	830	297
736	831	296
737	832	295
738	833	294
739	834	293
740	835	291
741	835	290
742	836	289
743	837	288
744	838	287
745	839	285
746	840	284
747	841	283
748	842	282
749	842	280
750	843	279
751	844	278
752	846	277
753	846	276
754	847	275
755	848	273
756	849	272
757	849	271
758	850	270
759	852	269
760	854	268
761	855	267
762	856	265
763	857	264
764	860	264
765	861	263
766	863	262
767	864	261
768	865	259
769	865	258
770	866	257
771	868	256
772	870	255
773	871	254
774	871	253
775	872	251
776	873	250
777	875	249
778	876	248
779	877	247
780	878	246
781	879	245
782	883	244
783	884	243
784	885	242
785	887	241
786	889	240
787	891	239
788	893	239
789	895	237
790	896	236
791	897	235
792	898	234
793	900	233
794	901	232
795	902	231
796	903	230
797	904	228
798	906	227
799	907	226
800	908	225
801	908	224
802	909	223
803	910	221
804	912	220
805	914	220
806	916	219
807	917	218
808	922	217
809	924	216
810	926	215
811	928	214
812	928	213
813	930	212
814	931	211
815	933	210
816	933	209
817	934	207
818	936	206
819	938	206
820	939	204
821	940	203
822	941	202
823	943	201
824	945	200
825	946	199
826	947	198
827	948	197
828	951	196
829	952	195
830	955	194
831	956	193
832	956	191
833	957	190
834	958	189
835	958	188
836	960	187
837	961	185
838	962	184
839	963	183
840	964	182
841	964	181
842	965	179
843	967	178
844	968	177
845	969	176
846	969	175
847	970	173
848	971	172
849	971	171
850	974	170
851	976	169
852	977	168
853	978	167
854	980	166
855	982	165
856	983	164
857	984	162
858	986	161
859	987	160
860	989	159
861	989	158
862	992	157
863	993	156
864	994	155
865	995	154
866	998	153
867	1001	152
868	1002	151
869	1004	150
870	1008	149
871	1012	148
872	1013	147
873	1014	146
874	1016	145
875	1018	144
876	1020	143
877	1040	144
878	1042	143
879	1044	142
880	1045	141
881	1046	140
882	1047	138
883	1050	137
884	1051	136
885	1052	135
886	1053	134
887	1055	133
888	1056	131
889	1057	130
890	1058	129
891	1061	128
892	1064	127
893	1065	126
894	1066	125
895	1069	124
896	1070	122
897	1073	121
898	1074	120
899	1076	119
900	1077	118
901	1080	117
902	1081	116
903	1082	114
904	1082	113
905	1083	112
906	1085	111
907	1087	110
908	1088	108
909	1089	107
910	1089	106
911	1091	105
912	1093	104
913	1094	102
914	1095	101
915	1096	100
916	1098	99
917	1101	98
918	1102	97
919	1104	96
920	1105	94
921	1106	93
922	1107	92
923	1108	91
924	1112	90
925	1113	88
926	1113	87
927	1114	86
928	1115	85
929	1116	84
930	1120	83
931	1120	81
932	1121	80
933	1123	79
934	1125	78
935	1128	77
936	1130	75
937	1132	74
938	1132	73
939	1133	72
940	1134	71
941	1137	70
942	1138	68
943	1139	67
944	1149	66
945	1151	65
946	1151	64
947	1152	63
948	1153	61
949	1154	60
950	1156	59
951	1157	58
952	1158	57
953	1159	55
954	1161	54
955	1162	53
956	1163	52
957	1163	51
958	1164	49
959	1165	48
960	1167	47
961	1167	46
962	1168	44
963	1169	43
964	1169	42
965	1170	41
966	1171	39
967	1172	38
968	1173	37
969	1174	36
970	1174	35
971	1175	33
972	1176	32
973	1176	31
974	1177	30
975	1179	28
976	1180	27
977	1181	26
978	1181	25
979	1182	24
980	1183	22
981	1183	21
982	1185	20
983	1186	19
984	1188	18
985	1188	16
986	1189	15
987	1190	14
988	1192	13
989	1192	12
990	1193	10
991	1194	9
992	1194	8
993	1195	7
994	1196	6
995	1198	4
996	1199	3
997	1199	2
998	1200	1
999	1201	0
